,Player,Height (m),Weight (kg),Born,NBA_Rookie,NBA_Retired,Position,Birth Date,Pos,Team
3653,Tyler Zeller,213.0,114.0,1990.0,2013.0,2018.0,F-C,"January 17, 1990",,
3654,Steven Adams,213.0,115.0,1993.0,2014.0,2018.0,C,"July 20, 1993",,
3655,Giannis Antetokounmpo,211.0,100.0,1994.0,2014.0,2018.0,F-G,"December 6, 1994",,
3656,Pero Antic,211.0,117.0,1982.0,2014.0,2015.0,C-F,"July 29, 1982",,
3657,Chris Babb,196.0,102.0,1990.0,2014.0,2014.0,G,"February 14, 1990",,
3658,Anthony Bennett,203.0,111.0,1993.0,2014.0,2017.0,F,"March 14, 1993",,
3659,Vander Blue,193.0,90.0,1992.0,2014.0,2018.0,G,"July 17, 1992",,
3660,Lorenzo Brown,196.0,85.0,1990.0,2014.0,2018.0,G,"August 26, 1990",,
3661,Reggie Bullock,201.0,92.0,1991.0,2014.0,2018.0,G-F,"March 16, 1991",,
3662,Trey Burke,185.0,86.0,1992.0,2014.0,2017.0,G,"November 12, 1992",,
3663,Dwight Buycks,190.0,86.0,1989.0,2014.0,2015.0,G,"March 6, 1989",,
3664,Nick Calathes,198.0,96.0,1989.0,2014.0,2015.0,G,"February 7, 1989",,
3665,Kentavious Caldwell-Pope,196.0,92.0,1993.0,2014.0,2018.0,G,"February 18, 1993",,
3666,Isaiah Canaan,183.0,91.0,1991.0,2014.0,2018.0,G,"May 21, 1991",,
3667,Michael Carter-Williams,198.0,86.0,1991.0,2014.0,2018.0,G,"October 10, 1991",,
3668,Dionte Christmas,196.0,92.0,1986.0,2014.0,2014.0,G,"September 15, 1986",,
3669,Ian Clark,190.0,79.0,1991.0,2014.0,2018.0,G,"March 7, 1991",,
3670,Robert Covington,206.0,97.0,1990.0,2014.0,2018.0,F,"December 14, 1990",,
3671,Allen Crabbe,198.0,95.0,1992.0,2014.0,2018.0,G-F,"April 9, 1992",,
3672,Seth Curry,188.0,83.0,1990.0,2014.0,2017.0,G,"August 23, 1990",,
3673,Troy Daniels,193.0,92.0,1991.0,2014.0,2018.0,G,"July 15, 1991",,
3674,Luigi Datome,203.0,97.0,1987.0,2014.0,2015.0,F,"November 27, 1987",,
3675,Brandon Davies,208.0,108.0,1991.0,2014.0,2015.0,F,"July 25, 1991",,
3676,Dewayne Dedmon,213.0,111.0,1989.0,2014.0,2018.0,C,"August 12, 1989",,
3677,Matthew Dellavedova,193.0,89.0,1990.0,2014.0,2018.0,G,"September 8, 1990",,
3678,Gorgui Dieng,211.0,109.0,1990.0,2014.0,2018.0,C,"January 18, 1990",,
3679,Shane Edwards,201.0,99.0,1987.0,2014.0,2014.0,F,"May 31, 1987",,
3680,Vitor Faverani,211.0,117.0,1988.0,2014.0,2014.0,C,"May 5, 1988",,
3681,Carrick Felix,198.0,91.0,1990.0,2014.0,2014.0,G,"August 17, 1990",,
3682,Jamaal Franklin,196.0,86.0,1991.0,2014.0,2015.0,G,"July 21, 1991",,
3683,Rudy Gobert,216.0,111.0,1992.0,2014.0,2018.0,C,"June 26, 1992",,
3684,Archie Goodwin,196.0,90.0,1994.0,2014.0,2017.0,G,"August 17, 1994",,
3685,Jorge Gutierrez,190.0,86.0,1988.0,2014.0,2016.0,G,"December 27, 1988",,
3686,Justin Hamilton,213.0,117.0,1990.0,2014.0,2017.0,C,"April 1, 1990",,
3687,Elias Harris,203.0,108.0,1989.0,2014.0,2014.0,F,"July 6, 1989",,
3688,Solomon Hill,201.0,102.0,1991.0,2014.0,2017.0,F,"March 18, 1991",,
3689,Scotty Hopson,201.0,92.0,1989.0,2014.0,2014.0,G,"August 8, 1989",,
3690,Robbie Hummel,203.0,97.0,1989.0,2014.0,2015.0,F,"March 8, 1989",,
3691,Sergey Karasev,201.0,94.0,1993.0,2014.0,2016.0,G-F,"October 26, 1993",,
3692,Ryan Kelly,211.0,104.0,1991.0,2014.0,2017.0,F,"April 9, 1991",,
3693,Ognjen Kuzmic,216.0,113.0,1990.0,2014.0,2015.0,C,"May 16, 1990",,
3694,Shane Larkin,180.0,79.0,1992.0,2014.0,2018.0,G,"October 2, 1992",,
3695,Ricky Ledo,201.0,88.0,1992.0,2014.0,2015.0,G,"September 10, 1992",,
3696,Alex Len,216.0,117.0,1993.0,2014.0,2018.0,C,"June 16, 1993",,
3697,Ray McCallum,190.0,86.0,1991.0,2014.0,2016.0,G,"June 12, 1991",,
3698,C.J. McCollum,190.0,86.0,1991.0,2014.0,2018.0,G,"September 19, 1991",,
3699,Ben McLemore,196.0,88.0,1993.0,2014.0,2018.0,G,"February 11, 1993",,
3700,Gal Mekel,190.0,86.0,1988.0,2014.0,2015.0,G,"March 4, 1988",,
3701,Tony Mitchell,201.0,92.0,1966.0,2014.0,2014.0,F,"August 7, 1989",,
3703,Shabazz Muhammad,198.0,101.0,1992.0,2014.0,2018.0,F-G,"November 13, 1992",,
3704,Erik Murphy,208.0,104.0,1990.0,2014.0,2014.0,F,"October 26, 1990",,
3705,Toure' Murry,196.0,88.0,1989.0,2014.0,2015.0,G-F,"November 8, 1989",,
3706,Mike Muscala,211.0,108.0,1991.0,2014.0,2018.0,F-C,"July 1, 1991",,
3707,Nemanja Nedovic,190.0,87.0,1991.0,2014.0,2014.0,G,"June 16, 1991",,
3708,James Nunnally,201.0,92.0,1990.0,2014.0,2014.0,F,"July 14, 1990",,
3709,Victor Oladipo,193.0,95.0,1992.0,2014.0,2018.0,G,"May 4, 1992",,
3710,Kelly Olynyk,213.0,107.0,1991.0,2014.0,2018.0,C-F,"April 19, 1991",,
3711,Arinze Onuaku,206.0,115.0,1987.0,2014.0,2017.0,C,"July 13, 1987",,
3712,Mason Plumlee,211.0,111.0,1990.0,2014.0,2018.0,C-F,"March 5, 1990",,
3713,Otto Porter,203.0,89.0,1993.0,2014.0,2018.0,F,"June 3, 1993",,
3714,Phil Pressey,180.0,79.0,1991.0,2014.0,2016.0,G,"February 17, 1991",,
3715,Miroslav Raduljica,213.0,113.0,1988.0,2014.0,2015.0,C,"January 5, 1988",,
3716,Andre Roberson,196.0,83.0,1955.0,2014.0,2018.0,G-F,"December 4, 1991",,
3717,Dennis Schroder,185.0,78.0,1993.0,2014.0,2018.0,G,"September 15, 1993",,
3718,Peyton Siva,183.0,83.0,1990.0,2014.0,2014.0,G,"October 24, 1990",,
3719,Tony Snell,201.0,90.0,1991.0,2014.0,2018.0,G-F,"November 10, 1991",,
3720,James Southerland,203.0,97.0,1990.0,2014.0,2014.0,F,"April 28, 1990",,
3721,D.J. Stephens,203.0,97.0,1990.0,2014.0,2014.0,G-F,"December 19, 1990",,
3722,Adonis Thomas,201.0,90.0,1993.0,2014.0,2014.0,F,"March 25, 1993",,
3723,Hollis Thompson,203.0,93.0,1991.0,2014.0,2017.0,G-F,"April 3, 1991",,
3724,Casper Ware,178.0,79.0,1990.0,2014.0,2014.0,G,"January 17, 1990",,
3725,Royce White,203.0,95.0,1959.0,2014.0,2014.0,F,"April 10, 1991",,
3726,Jeff Withey,213.0,104.0,1990.0,2014.0,2018.0,C,"March 7, 1990",,
3727,Nate Wolters,193.0,86.0,1991.0,2014.0,2018.0,G,"May 15, 1991",,
3728,Cody Zeller,213.0,108.0,1992.0,2014.0,2018.0,C-F,"October 5, 1992",,
3729,Jordan Adams,196.0,94.0,1994.0,2015.0,2016.0,G,"July 8, 1994",,
3730,Furkan Aldemir,208.0,108.0,1991.0,2015.0,2015.0,F-C,"August 9, 1991",,
3731,Kyle Anderson,206.0,104.0,1993.0,2015.0,2018.0,F-G,"September 20, 1993",,
3732,Cameron Bairstow,206.0,113.0,1990.0,2015.0,2016.0,F-C,"December 7, 1990",,
3733,Jerrelle Benimon,203.0,111.0,1991.0,2015.0,2015.0,F,"August 1, 1991",,
3734,Sim Bhullar,226.0,163.0,1992.0,2015.0,2015.0,C,"December 2, 1992",,
3735,Tarik Black,206.0,113.0,1991.0,2015.0,2018.0,C-F,"November 22, 1991",,
3736,Bojan Bogdanovic,198.0,92.0,1992.0,2015.0,2018.0,G-F,"April 18, 1989",,
3737,Jabari Brown,193.0,97.0,1992.0,2015.0,2015.0,G,"December 18, 1992",,
3738,Markel Brown,190.0,83.0,1974.0,2015.0,2016.0,G,"January 29, 1992",,
3739,Bruno Caboclo,206.0,98.0,1995.0,2015.0,2018.0,F,"September 21, 1995",,
3740,Clint Capela,206.0,98.0,1995.0,2015.0,2018.0,C,"May 18, 1994",,
3741,Will Cherry,183.0,83.0,1991.0,2015.0,2015.0,G,"February 8, 1991",,
3742,Patrick Christopher,196.0,94.0,1988.0,2015.0,2015.0,G-F,"June 3, 1988",,
3743,Jordan Clarkson,196.0,87.0,1992.0,2015.0,2018.0,G,"June 7, 1992",,
3744,Jack Cooley,206.0,117.0,1991.0,2015.0,2018.0,F-C,"April 4, 1991",,
3745,Bryce Cotton,185.0,74.0,1992.0,2015.0,2016.0,G,"August 11, 1992",,
3746,Andre Dawkins,196.0,97.0,1991.0,2015.0,2015.0,G,"September 19, 1991",,
3747,Spencer Dinwiddie,198.0,90.0,1993.0,2015.0,2018.0,G,"April 6, 1993",,
3748,Zoran Dragic,196.0,90.0,1989.0,2015.0,2015.0,G-F,"June 22, 1989",,
3749,Cleanthony Early,203.0,95.0,1991.0,2015.0,2016.0,F,"April 17, 1991",,
3750,James Ennis,201.0,95.0,1990.0,2015.0,2018.0,F,"July 1, 1990",,
3751,Tyler Ennis,190.0,87.0,1994.0,2015.0,2018.0,G,"August 24, 1994",,
3752,Dante Exum,198.0,86.0,1995.0,2015.0,2017.0,G,"July 13, 1995",,
3753,Tim Frazier,185.0,77.0,1990.0,2015.0,2018.0,G,"November 1, 1990",,
3754,Langston Galloway,188.0,90.0,1991.0,2015.0,2018.0,G,"December 9, 1991",,
3755,Aaron Gordon,206.0,99.0,1995.0,2015.0,2018.0,F,"September 16, 1995",,
3756,Drew Gordon,206.0,111.0,1990.0,2015.0,2015.0,F,"July 12, 1990",,
3757,Jerami Grant,203.0,95.0,1994.0,2015.0,2018.0,F,"March 12, 1994",,
3758,Erick Green,193.0,83.0,1991.0,2015.0,2016.0,G,"May 9, 1991",,
3759,JaMychal Green,206.0,102.0,1990.0,2015.0,2018.0,F,"June 21, 1990",,
3760,P.J. Hairston,206.0,102.0,1990.0,2015.0,2016.0,G-F,"December 24, 1992",,
3761,Gary Harris,193.0,95.0,1994.0,2015.0,2018.0,G,"September 14, 1994",,
3762,Joe Harris,198.0,99.0,1991.0,2015.0,2018.0,G,"September 6, 1991",,
3763,Rodney Hood,203.0,93.0,1992.0,2015.0,2018.0,G-F,"October 20, 1992",,
3764,Joe Ingles,203.0,102.0,1987.0,2015.0,2018.0,F-G,"October 2, 1987",,
3765,Cory Jefferson,206.0,98.0,1990.0,2015.0,2016.0,F,"December 26, 1990",,
3766,Grant Jerrett,208.0,106.0,1993.0,2015.0,2015.0,F,"July 8, 1993",,
3767,Nick Johnson,190.0,91.0,1992.0,2015.0,2015.0,G,"December 22, 1992",,
3768,Tyler Johnson,193.0,84.0,1992.0,2015.0,2018.0,G,"May 7, 1992",,
3769,Sean Kilpatrick,193.0,95.0,1990.0,2015.0,2018.0,G,"January 6, 1990",,
3770,Alex Kirk,213.0,111.0,1991.0,2015.0,2015.0,C,"November 14, 1991",,
3771,Joffrey Lauvergne,211.0,99.0,1991.0,2015.0,2018.0,C-F,"September 30, 1991",,
3772,Zach LaVine,196.0,85.0,1995.0,2015.0,2017.0,G,"March 10, 1995",,
3773,Kalin Lucas,185.0,88.0,1989.0,2015.0,2015.0,G,"May 24, 1989",,
3774,Devyn Marble,198.0,90.0,1992.0,2015.0,2016.0,G-F,"September 21, 1992",,
3775,James Michael,198.0,90.0,1992.0,,,,,,
3776,K.J. McDaniels,198.0,90.0,1992.0,2015.0,2017.0,G-F,"February 9, 1993",,
3777,Doug McDermott,203.0,102.0,1992.0,2015.0,2018.0,F,"January 3, 1992",,
3778,Mitch McGary,208.0,115.0,1992.0,2015.0,2016.0,F-C,"June 6, 1992",,
3779,Jerel McNeal,190.0,90.0,1987.0,2015.0,2015.0,G,"June 1, 1987",,
3780,Elijah Millsap,198.0,102.0,1987.0,2015.0,2017.0,G-F,"August 12, 1987",,
3781,Nikola Mirotic,208.0,99.0,1991.0,2015.0,2018.0,F,"February 11, 1991",,
3782,Eric Moreland,208.0,107.0,1991.0,2015.0,2018.0,F-C,"December 24, 1991",,
3783,Shabazz Napier,185.0,79.0,1991.0,2015.0,2018.0,G,"July 14, 1991",,
3784,Nerlens Noel,211.0,103.0,1994.0,2015.0,2018.0,C-F,"April 10, 1994",,
3785,Lucas Nogueira,213.0,109.0,1992.0,2015.0,2018.0,C,"July 26, 1992",,
3786,Jusuf Nurkic,213.0,127.0,1994.0,2015.0,2018.0,C,"August 23, 1994",,
3787,Johnny O'Bryant,206.0,116.0,1993.0,2015.0,2018.0,F-C,"June 1, 1993",,
3788,Kostas Papanikolaou,203.0,102.0,1990.0,2015.0,2016.0,F,"July 31, 1990",,
3789,Jabari Parker,203.0,113.0,1995.0,2015.0,2017.0,F,"March 15, 1995",,
3790,Adreian Payne,208.0,107.0,1991.0,2015.0,2018.0,F-C,"February 19, 1991",,
3791,Elfrid Payton,193.0,83.0,1994.0,2015.0,2018.0,G,"February 22, 1994",,
3792,Dwight Powell,211.0,108.0,1991.0,2015.0,2018.0,F-C,"July 20, 1991",,
3793,Julius Randle,206.0,113.0,1994.0,2015.0,2018.0,F-C,"November 29, 1994",,
3794,Damjan Rudez,208.0,103.0,1986.0,2015.0,2017.0,F,"June 17, 1986",,
3795,JaKarr Sampson,211.0,106.0,1983.0,2015.0,2018.0,G-F,"March 20, 1993",,
3796,Marcus Smart,193.0,99.0,1994.0,2015.0,2018.0,G,"March 6, 1994",,
3797,Russ Smith,183.0,74.0,1991.0,2015.0,2016.0,G,"April 19, 1991",,
3798,Nik Stauskas,198.0,92.0,1993.0,2015.0,2018.0,G,"October 7, 1993",,
3799,David Stockton,180.0,74.0,1991.0,2015.0,2015.0,G,"June 24, 1991",,
3800,Jarnell Stokes,206.0,119.0,1994.0,2015.0,2017.0,F-C,"January 7, 1994",,
3801,Noah Vonleh,208.0,108.0,1995.0,2015.0,2018.0,F,"August 24, 1995",,
3802,T.J. Warren,208.0,108.0,1995.0,2015.0,2018.0,F,"September 5, 1993",,
3803,David Wear,208.0,104.0,1990.0,2015.0,2015.0,F,"September 21, 1990",,
3804,Travis Wear,208.0,104.0,1990.0,2015.0,2015.0,F,"September 21, 1990",,
3805,Shayne Whittington,211.0,113.0,1991.0,2015.0,2016.0,F-C,"March 27, 1991",,
3806,Andrew Wiggins,203.0,90.0,1995.0,2015.0,2018.0,F-G,"February 23, 1995",,
3807,C.J. Wilcox,203.0,90.0,1995.0,2015.0,2017.0,G,"December 30, 1990",,
3808,James Young,198.0,97.0,1995.0,2015.0,2017.0,G-F,"August 16, 1995",,
3809,Cliff Alexander,203.0,111.0,1995.0,2016.0,2016.0,F,"November 16, 1995",,
3810,Justin Anderson,198.0,103.0,1993.0,2016.0,2018.0,G,"November 19, 1993",,
3811,Thanasis Antetokounmpo,201.0,92.0,1992.0,2016.0,2016.0,F,"July 17, 1992",,
3812,Keith Appling,185.0,83.0,1992.0,2016.0,2016.0,G,"February 13, 1992",,
3813,Nemanja Bjelica,208.0,108.0,1988.0,2016.0,2018.0,F,"May 9, 1988",,
3814,Devin Booker,198.0,93.0,1996.0,2016.0,2018.0,G,"October 30, 1996",,
3815,Anthony Brown,206.0,111.0,1981.0,2016.0,2017.0,F-G,"October 10, 1992",,
3816,Willie Cauley-Stein,213.0,108.0,1993.0,2016.0,2018.0,F-C,"August 18, 1993",,
3817,Rakeem Christmas,206.0,113.0,1991.0,2016.0,2017.0,F,"December 1, 1991",,
3818,Coty Clarke,201.0,105.0,1992.0,2016.0,2016.0,F,"July 4, 1992",,
3819,Pat Connaughton,196.0,93.0,1993.0,2016.0,2018.0,G,"January 6, 1993",,
3820,Branden Dawson,198.0,102.0,1993.0,2016.0,2016.0,F,"February 1, 1993",,
3821,Bryce Dejean-Jones,198.0,94.0,1992.0,2016.0,2016.0,G,"August 21, 1992",,
3822,Sam Dekker,206.0,104.0,1994.0,2016.0,2018.0,F,"May 6, 1994",,
3823,Duje Dukan,206.0,99.0,1991.0,2016.0,2016.0,F,"December 4, 1991",,
3824,Jarell Eddie,201.0,98.0,1991.0,2016.0,2017.0,G-F,"October 30, 1991",,
3825,Cristiano Felicio,208.0,124.0,1992.0,2016.0,2018.0,F-C,"July 7, 1992",,
3826,Jerian Grant,203.0,95.0,1994.0,2016.0,2018.0,G,"October 9, 1992",,
3827,Montrezl Harrell,203.0,108.0,1994.0,2016.0,2018.0,F-C,"January 26, 1994",,
3828,Aaron Harrison,198.0,95.0,1994.0,2016.0,2017.0,G,"October 28, 1994",,
3829,Mario Hezonja,203.0,97.0,1995.0,2016.0,2018.0,F-G,"February 25, 1995",,
3830,Darrun Hilliard,198.0,92.0,1993.0,2016.0,2018.0,G,"April 13, 1993",,
3831,Rondae Hollis-Jefferson,201.0,99.0,1995.0,2016.0,2018.0,F,"January 3, 1995",,
3832,Richaun Holmes,208.0,111.0,1993.0,2016.0,2018.0,F-C,"October 15, 1993",,
3833,Marcelo Huertas,190.0,90.0,1983.0,2016.0,2017.0,G,"May 25, 1983",,
3834,Josh Huestis,201.0,104.0,1991.0,2016.0,2018.0,F,"December 19, 1991",,
3835,R.J. Hunter,201.0,104.0,1991.0,2016.0,2017.0,G,"October 24, 1993",,
3836,Damien Inglis,203.0,111.0,1995.0,2016.0,2016.0,F,"May 20, 1995",,
3837,Stanley Johnson,203.0,99.0,1944.0,2016.0,2018.0,F,"May 29, 1996",,
3838,Nikola Jokic,208.0,113.0,1995.0,2016.0,2018.0,C-F,"February 19, 1995",,
3839,Tyus Jones,188.0,88.0,1996.0,2016.0,2018.0,G,"May 10, 1996",,
3840,Frank Kaminsky,213.0,109.0,1993.0,2016.0,2018.0,F-C,"April 4, 1993",,
3841,Sasha Kaun,211.0,117.0,1985.0,2016.0,2016.0,C,"May 8, 1985",,
3842,Kevon Looney,206.0,99.0,1996.0,2016.0,2018.0,F-C,"February 6, 1996",,
3843,Trey Lyles,208.0,106.0,1995.0,2016.0,2018.0,F,"November 5, 1995",,
3844,Boban Marjanovic,221.0,131.0,1988.0,2016.0,2018.0,C,"August 15, 1988",,
3845,Jarell Martin,208.0,108.0,1994.0,2016.0,2018.0,F,"May 24, 1994",,
3846,T.J. McConnell,208.0,108.0,1994.0,2016.0,2018.0,G,"March 25, 1992",,
3847,Chris McCullough,211.0,90.0,1995.0,2016.0,2018.0,F,"February 5, 1995",,
3848,Jordan McRae,198.0,83.0,1991.0,2016.0,2017.0,G,"March 28, 1991",,
3849,Salah Mejri,216.0,111.0,1986.0,2016.0,2018.0,C,"June 15, 1986",,
3850,Jordan Mickey,203.0,106.0,1994.0,2016.0,2018.0,F,"July 9, 1994",,
3851,Luis Montero,201.0,83.0,1993.0,2016.0,2016.0,G,"April 6, 1993",,
3852,Emmanuel Mudiay,196.0,90.0,1996.0,2016.0,2018.0,G,"March 5, 1996",,
3853,Xavier Munford,196.0,90.0,1996.0,2016.0,2016.0,G,"June 1, 1992",,
3854,Raul Neto,185.0,81.0,1992.0,2016.0,2018.0,G,"May 19, 1992",,
3855,J.J. O'Brien,185.0,81.0,1992.0,2016.0,2016.0,F,"April 8, 1992",,
3856,Jahlil Okafor,211.0,124.0,1995.0,2016.0,2018.0,C-F,"December 15, 1995",,
3857,Kelly Oubre,201.0,92.0,1995.0,2016.0,2018.0,F,"December 9, 1995",,
3858,Lamar Patterson,196.0,102.0,1991.0,2016.0,2017.0,G-F,"August 12, 1991",,
3859,Cameron Payne,190.0,83.0,1994.0,2016.0,2017.0,G,"August 8, 1994",,
3860,Tibor Pleiss,221.0,116.0,1989.0,2016.0,2016.0,C,"November 2, 1989",,
3861,Bobby Portis,211.0,104.0,1995.0,2016.0,2018.0,F,"February 10, 1995",,
3862,Kristaps Porzingis,221.0,108.0,1995.0,2016.0,2018.0,F-C,"August 2, 1995",,
3863,Norman Powell,193.0,97.0,1993.0,2016.0,2018.0,G,"May 25, 1993",,
3864,Willie Reed,206.0,106.0,1942.0,2016.0,2018.0,F-C,"May 16, 1990",,
3865,Josh Richardson,198.0,90.0,1993.0,2016.0,2018.0,G,"September 15, 1993",,
3866,Terry Rozier,188.0,86.0,1994.0,2016.0,2018.0,G,"March 17, 1994",,
3867,D'Angelo Russell,188.0,86.0,1994.0,2016.0,2018.0,G,"February 23, 1996",,
3868,Jonathon Simmons,185.0,83.0,1924.0,2016.0,2018.0,G-F,"September 14, 1989",,
3869,Alex Stepheson,208.0,122.0,1987.0,2016.0,2016.0,F,"August 7, 1987",,
3870,Walter Tavares,221.0,117.0,1992.0,,,,,,
3871,Axel Toupane,201.0,89.0,1992.0,2016.0,2017.0,G-F,"July 23, 1992",,
3872,Karl-Anthony Towns,213.0,110.0,1995.0,2016.0,2018.0,C-F,"November 15, 1995",,
3873,Myles Turner,211.0,110.0,1996.0,2016.0,2018.0,C-F,"March 24, 1996",,
3874,Rashad Vaughn,198.0,91.0,1996.0,2016.0,2018.0,G,"August 16, 1996",,
3875,Briante Weber,188.0,74.0,1992.0,2016.0,2018.0,G,"December 29, 1992",,
3876,Alan Williams,198.0,90.0,1948.0,2016.0,2017.0,F-C,"January 28, 1993",,
3877,Justise Winslow,201.0,102.0,1996.0,2016.0,2018.0,F,"March 26, 1996",,
3878,Christian Wood,211.0,99.0,1995.0,2016.0,2017.0,F,"September 27, 1995",,
3879,Delon Wright,196.0,83.0,1992.0,2016.0,2018.0,G,"April 26, 1992",,
3880,Joe Young,188.0,81.0,1992.0,2016.0,2018.0,G,"June 27, 1992",,
3881,Alex Abrines,198.0,86.0,1993.0,2017.0,2018.0,G-F,"August 1, 1993",,
3882,Ron Baker,193.0,99.0,1993.0,2017.0,2018.0,G,"March 30, 1993",,
3883,Wade Baldwin,193.0,91.0,1996.0,2017.0,2017.0,G,"March 29, 1996",,
3884,Malik Beasley,196.0,88.0,1996.0,2017.0,2018.0,G,"November 26, 1996",,
3885,DeAndre' Bembry,198.0,95.0,1994.0,2017.0,2018.0,F,"July 4, 1994",,
3886,Dragan Bender,216.0,102.0,1997.0,2017.0,2018.0,F,"November 17, 1997",,
3887,Ben Bentil,206.0,106.0,1995.0,2017.0,2017.0,F,"March 29, 1995",,
3888,Davis Bertans,208.0,95.0,1992.0,2017.0,2018.0,F,"November 12, 1992",,
3889,Joel Bolomboy,206.0,106.0,1994.0,2017.0,2018.0,F,"January 28, 1994",,
3890,Malcolm Brogdon,196.0,97.0,1992.0,2017.0,2018.0,G,"December 11, 1992",,
3891,Jaylen Brown,193.0,97.0,1992.0,2017.0,2018.0,F-G,"October 24, 1996",,
3892,Nicolas Brussino,201.0,88.0,1993.0,2017.0,2018.0,G-F,"March 2, 1993",,
3893,Marquese Chriss,208.0,105.0,1997.0,2017.0,2018.0,F,"July 2, 1997",,
3894,Semaj Christon,190.0,86.0,1992.0,2017.0,2017.0,G,"November 1, 1992",,
3895,Quinn Cook,188.0,83.0,1993.0,2017.0,2018.0,G,"March 23, 1993",,
3896,Deyonta Davis,211.0,107.0,1996.0,2017.0,2018.0,F-C,"December 2, 1996",,
3897,Malcolm Delaney,190.0,86.0,1989.0,2017.0,2018.0,G,"March 11, 1989",,
3898,Cheick Diallo,206.0,99.0,1996.0,2017.0,2018.0,F,"September 13, 1996",,
3899,Kris Dunn,193.0,95.0,1994.0,2017.0,2018.0,G,"March 18, 1994",,
3900,Henry Ellenson,211.0,111.0,1997.0,2017.0,2018.0,F,"January 13, 1997",,
3901,Joel Embiid,213.0,113.0,1994.0,2017.0,2018.0,C-F,"March 16, 1994",,
3902,Kay Felder,175.0,79.0,1995.0,2017.0,2018.0,G,"March 29, 1995",,
3903,Yogi Ferrell,183.0,81.0,1993.0,2017.0,2018.0,G,"May 9, 1993",,
3904,Dorian Finney-Smith,203.0,99.0,1993.0,2017.0,2018.0,F,"May 4, 1993",,
3905,Bryn Forbes,190.0,86.0,1993.0,2017.0,2018.0,G,"July 23, 1993",,
3906,Patricio Garino,198.0,95.0,1993.0,2017.0,2017.0,G-F,"May 17, 1993",,
3907,Michael Gbinije,201.0,90.0,1992.0,2017.0,2017.0,G,"June 5, 1992",,
3908,Marcus Georges-Hunt,196.0,97.0,1994.0,2017.0,2018.0,G,"March 28, 1994",,
3909,Jonathan Gibson,188.0,83.0,1987.0,2017.0,2017.0,G,"November 8, 1987",,
3910,Treveon Graham,198.0,99.0,1993.0,2017.0,2018.0,G,"October 29, 1993",,
3911,A.J. Hammons,198.0,99.0,1993.0,2017.0,2017.0,C,"August 27, 1992",,
3912,Andrew Harrison,198.0,96.0,1994.0,2017.0,2018.0,G,"October 28, 1994",,
3913,Juan Hernangomez,206.0,104.0,1995.0,2017.0,2018.0,F,"September 28, 1995",,
3914,Willy Hernangomez,211.0,108.0,1994.0,2017.0,2018.0,C,"May 27, 1994",,
3915,Buddy Hield,193.0,97.0,1993.0,2017.0,2018.0,G,"December 17, 1993",,
3916,Danuel House,201.0,93.0,1993.0,2017.0,2018.0,G,"June 7, 1993",,
3917,Brandon Ingram,206.0,86.0,1997.0,2017.0,2018.0,F,"September 2, 1997",,
3918,Demetrius Jackson,185.0,91.0,1994.0,2017.0,2018.0,G,"September 7, 1994",,
3919,Pierre Jackson,178.0,81.0,1991.0,2017.0,2017.0,G,"August 29, 1991",,
3920,Brice Johnson,208.0,95.0,1979.0,2017.0,2018.0,F,"June 27, 1994",,
3921,Damian Jones,190.0,83.0,1976.0,2017.0,2018.0,F-C,"June 30, 1995",,
3922,Derrick Jones,203.0,100.0,1990.0,2017.0,2018.0,F,"February 15, 1997",,
3923,Mindaugas Kuzminskas,206.0,97.0,1989.0,2017.0,2018.0,F,"October 19, 1989",,
3924,Skal Labissiere,211.0,102.0,1996.0,2017.0,2018.0,F,"March 18, 1996",,
3925,Nicolas Laprovittola,193.0,81.0,1990.0,2017.0,2017.0,G,"January 31, 1990",,
3926,Jake Layman,206.0,95.0,1994.0,2017.0,2018.0,F,"March 7, 1994",,
3927,Caris LeVert,201.0,92.0,1994.0,2017.0,2018.0,G-F,"August 25, 1994",,
3928,Shawn Long,206.0,115.0,1993.0,2017.0,2017.0,C-F,"January 29, 1993",,
3929,Timothe Luwawu-Cabarrot,198.0,92.0,1995.0,2017.0,2018.0,F,"May 9, 1995",,
3930,Thon Maker,216.0,97.0,1997.0,2017.0,2018.0,F-C,"February 25, 1997",,
3931,Patrick McCaw,201.0,83.0,1995.0,2017.0,2018.0,G,"October 25, 1995",,
3932,Sheldon McClellan,196.0,90.0,1992.0,,,,,,
3933,Rodney McGruder,193.0,92.0,1991.0,2017.0,2017.0,G,"July 29, 1991",,
3934,Dejounte Murray,196.0,77.0,1996.0,2017.0,2018.0,G,"September 19, 1996",,
3935,Jamal Murray,193.0,93.0,1997.0,2017.0,2018.0,G,"February 23, 1997",,
3936,Maurice Ndour,206.0,90.0,1992.0,2017.0,2017.0,F,"June 18, 1992",,
3937,Georges Niang,203.0,104.0,1993.0,2017.0,2017.0,F,"June 17, 1993",,
3938,David Nwaba,193.0,94.0,1993.0,2017.0,2018.0,G,"January 14, 1993",,
3939,Daniel Ochefu,211.0,111.0,1993.0,2017.0,2017.0,C,"December 15, 1993",,
3940,Chinanu Onuaku,208.0,111.0,1996.0,2017.0,2017.0,F-C,"November 1, 1996",,
3941,Georgios Papagiannis,216.0,108.0,1997.0,2017.0,2018.0,C,"July 3, 1997",,
3942,Gary Payton,193.0,81.0,1968.0,1991.0,2007.0,G,"July 23, 1968",,
